Timestamps,District,count,yhat
2020-01-01 00:00:00,006,4,2.0573504491757006
2020-01-01 00:00:00,022,2,0.32983159173299015
2020-01-01 00:00:00,022,2,0.2786394830236274
2020-01-01 00:00:00,022,2,0.17737980149260046
2020-01-01 00:00:00,022,2,0.19894912274478926
2020-01-01 00:00:00,006,4,2.1139749830114605
2020-01-01 00:00:00,022,2,0.30032514257324294
2020-01-01 00:00:00,022,2,0.4904365219097082
2020-01-01 00:00:00,022,2,0.8352427465363084
2020-01-01 00:00:00,022,2,1.096913971597421
2020-01-01 00:00:00,022,2,1.035260493657388
2020-01-01 00:00:00,022,2,1.041490743316582
2020-01-01 00:00:00,024,1,0.9753514106982806
2020-01-01 00:00:00,024,1,0.4781469135059111
2020-01-01 00:00:00,024,1,0.3906964574726457
2020-01-01 00:00:00,022,2,1.3875973240579924
2020-01-01 00:00:00,022,2,1.0381723469144113
2020-01-01 00:00:00,022,2,1.1776157794856053
2020-01-01 00:00:00,022,2,1.3225902509714764
2020-01-01 00:00:00,022,2,1.1917626167196023
2020-01-01 00:00:00,022,2,1.1458574812519373
2020-01-01 00:00:00,022,2,1.1923104262095805
2020-01-01 00:00:00,024,1,0.23281951811550528
2020-01-01 00:00:00,002,1,1.5256769482303145
2020-01-01 00:00:00,007,3,0.23243347557125826
2020-01-01 00:00:00,007,3,0.39638508436178643
2020-01-01 00:00:00,010,7,0.89697639900543
2020-01-01 00:00:00,010,7,0.545593137891089
2020-01-01 00:00:00,010,7,0.2840674253200106
2020-01-01 00:00:00,016,1,0.3462866811267542
2020-01-01 00:00:00,016,1,0.5873440512853261
2020-01-01 00:00:00,010,7,0.16415357672135755
2020-01-01 00:00:00,010,7,0.17715827801801254
2020-01-01 00:00:00,010,7,0.2648177877152147
2020-01-01 00:00:00,010,7,0.3208341358071465
2020-01-01 00:00:00,010,7,0.49936421106753137
2020-01-01 00:00:00,011,7,3.1920828044344134
2020-01-01 00:00:00,011,7,2.676563583079867
2020-01-01 00:00:00,011,7,2.1288345228002115
2020-01-01 00:00:00,011,7,1.704229633894304
2020-01-01 00:00:00,011,7,1.2633388018369942
2020-01-01 00:00:00,001,2,2.764724939730722
2020-01-01 00:00:00,010,7,1.1355701735845027
2020-01-01 00:00:00,001,2,2.425915812410816
2020-01-01 00:00:00,016,1,0.7149877837710532
2020-01-01 00:00:00,016,1,1.0419935988995999
2020-01-01 00:00:00,001,2,1.9895857464646909
2020-01-01 00:00:00,001,2,1.5793384755529019
2020-01-01 00:00:00,014,5,1.0227701498638524
2020-01-01 00:00:00,001,2,1.193666092724774
2020-01-01 00:00:00,014,5,0.4474876237990344
2020-01-01 00:00:00,016,1,0.9365317660187493
2020-01-01 00:00:00,016,1,0.8550048980842035
2020-01-01 00:00:00,005,7,1.1629116239520272
2020-01-01 00:00:00,005,7,0.5403870521693186
2020-01-01 00:00:00,010,7,1.240391300302358
2020-01-01 00:00:00,005,7,0.3833712321852545
2020-01-01 00:00:00,010,7,1.3593904722982852
2020-01-01 00:00:00,010,7,1.7567176416787476
2020-01-01 00:00:00,001,2,1.8561972553627362
2020-01-01 00:00:00,001,2,1.2960656693552277
2020-01-01 00:00:00,001,2,0.741117178458051
2020-01-01 00:00:00,001,2,0.4165492670874009
2020-01-01 00:00:00,001,2,0.23197043384848826
2020-01-01 00:00:00,001,2,0.17139475421856076
2020-01-01 00:00:00,001,2,0.18686868247564448
2020-01-01 00:00:00,001,2,0.2956848813881603
2020-01-01 00:00:00,001,2,0.3823559031211259
2020-01-01 00:00:00,001,2,0.8920083355278647
2020-01-01 00:00:00,001,2,3.3945749825431664
2020-01-01 00:00:00,001,2,3.1155297774103565
2020-01-01 00:00:00,016,1,0.19265309852502632
2020-01-01 00:00:00,016,1,0.1479280716824638
2020-01-01 00:00:00,001,2,2.926305186098867
2020-01-01 00:00:00,010,7,0.9546491627142153
2020-01-01 00:00:00,010,7,1.2791657116911814
2020-01-01 00:00:00,010,7,1.3952937755046921
2020-01-01 00:00:00,010,7,1.6437245622156205
2020-01-01 00:00:00,010,7,1.9151805574119596
2020-01-01 00:00:00,010,7,1.8420710852210398
2020-01-01 00:00:00,010,7,1.6260731225784326
2020-01-01 00:00:00,010,7,1.6276614607455162
2020-01-01 00:00:00,010,7,1.6248313290961054
2020-01-01 00:00:00,001,2,2.6882388390646033
2020-01-01 00:00:00,001,2,2.671801788965813
2020-01-01 00:00:00,016,1,0.16739826634176946
2020-01-01 00:00:00,010,7,1.548866649055915
2020-01-01 00:00:00,010,7,1.3858585757552966
2020-01-01 00:00:00,010,7,1.4091280411369969
2020-01-01 00:00:00,007,3,0.2883317582935634
2020-01-01 00:00:00,005,7,0.2889409230295694
2020-01-01 00:00:00,005,7,0.2415592779104756
2020-01-01 00:00:00,014,5,0.9486906364531471
2020-01-01 00:00:00,014,5,0.9506324230377015
2020-01-01 00:00:00,014,5,1.2723799003846032
2020-01-01 00:00:00,014,5,1.0041252227277493
2020-01-01 00:00:00,014,5,1.125719793240334
2020-01-01 00:00:00,014,5,1.1948616312821496
2020-01-01 00:00:00,014,5,1.2763667913495116
